inAmp,Skew,Downstream Var,Upstream Var
3.81,0.7578,0.080704,0.066801
3.556,0.8453,0.047346,0.033427
3.302,0.8486,0.040321,0.029055
3.048,0.8534,0.035927,0.025531
2.794,0.8357,0.029823,0.021196
2.54,0.7521,0.02094,0.015875
2.286,0.7405,0.017278,0.013385
2.032,0.7105,0.013878,0.010957
1.778,0.6372,0.010072,0.0085206
1.524,0.5377,0.0067515,0.0059019
1.27,0.4645,0.0045297,0.0042284
1.016,0.2604,0.0025999,0.0025912
0.762,0.2513,0.0014893,0.0014337
0.508,0.2334,0.00064632,0.00060349
0.254,0.1974,0.00064647,0.0005868
